scope,group,model_group,signal,spearman,partial,auroc
family,noise,dae_lam0,b,0.0496,,0.5289
family,noise,dae_lam0,g,0.8023,0.8031,0.8894
family,noise,dae_lam0,d,0.5900,0.5917,0.7825
family,noise,dae_lam0,r_A,0.5900,0.5917,0.7825
family,noise,dae_lam0,div,0.4555,0.4536,0.7234
family,noise,dae_lam0,g_lin,0.7560,0.7571,0.8626
family,noise,dae_lam0,sure,0.7111,0.7146,0.8535
family,noise,dae_lam0,b@level,0.2814,0.2818,0.6048
family,noise,dae_lam0,g@level,0.4587,0.4593,0.7157
family,noise,dae_lam0,d@level,0.4587,0.4593,0.7157
family,noise,dae_lam0,r_A@level,0.4587,0.4593,0.7157
family,noise,dae_lam0,div@level,0.4587,0.4593,0.7157
family,noise,dae_lam0,g_lin@level,0.4587,0.4593,0.7157
family,noise,dae_lam0,sure@level,0.4587,0.4593,0.7157
family,noise,dae_lam1,b,0.5033,,0.8709
family,noise,dae_lam1,g,0.2336,0.2014,0.6232
family,noise,dae_lam1,d,0.4256,0.3603,0.7384
family,noise,dae_lam1,r_A,0.4256,0.3603,0.7384
family,noise,dae_lam1,div,-0.0005,-0.0086,0.5003
family,noise,dae_lam1,g_lin,0.1753,0.1572,0.5927
family,noise,dae_lam1,sure,0.9456,0.9265,0.9875
family,noise,dae_lam1,b@level,0.0000,-0.0002,0.5000
family,noise,dae_lam1,g@level,0.0000,-0.0002,0.5000
family,noise,dae_lam1,d@level,0.0000,-0.0002,0.5000
family,noise,dae_lam1,r_A@level,0.0000,-0.0002,0.5000
family,noise,dae_lam1,div@level,0.0000,0.0001,0.5000
family,noise,dae_lam1,g_lin@level,0.0000,-0.0002,0.5000
family,noise,dae_lam1,sure@level,0.0000,0.0000,0.5000
family,noise,dae_lam1w5,b,0.0572,,0.5242
family,noise,dae_lam1w5,g,0.7012,0.7007,0.8499
family,noise,dae_lam1w5,d,0.5410,0.5425,0.7577
family,noise,dae_lam1w5,r_A,0.5410,0.5425,0.7577
family,noise,dae_lam1w5,div,0.2098,0.2063,0.5892
family,noise,dae_lam1w5,g_lin,0.6699,0.6720,0.8263
family,noise,dae_lam1w5,sure,0.7408,0.7421,0.8739
family,noise,dae_lam1w5,b@level,0.2188,0.2192,0.5819
family,noise,dae_lam1w5,g@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,d@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,r_A@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,div@level,-0.2791,-0.2793,0.3612
family,noise,dae_lam1w5,g_lin@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,sure@level,0.3864,0.3870,0.6771
family,blur,dae_lam0,b,0.2454,,0.6763
family,blur,dae_lam0,g,0.7345,0.7215,0.8543
family,blur,dae_lam0,d,0.6782,0.7074,0.8333
family,blur,dae_lam0,r_A,0.6542,0.6263,0.8481
family,blur,dae_lam0,b@level,-0.7064,-0.7354,0.1690
family,blur,dae_lam0,g@level,0.7064,0.7354,0.8310
family,blur,dae_lam0,d@level,0.6278,0.6533,0.7512
family,blur,dae_lam0,r_A@level,0.2925,0.3049,0.7420
family,blur,dae_lam1,b,0.5049,,0.8710
family,blur,dae_lam1,g,0.7295,0.7032,0.8536
family,blur,dae_lam1,d,0.9306,0.9136,0.9807
family,blur,dae_lam1,r_A,0.9144,0.8860,0.9743
family,blur,dae_lam1,b@level,-0.0001,-0.0151,0.5000
family,blur,dae_lam1,g@level,-0.0001,-0.0151,0.5000
family,blur,dae_lam1,d@level,-0.0001,-0.0151,0.5000
family,blur,dae_lam1,r_A@level,-0.0001,-0.0151,0.5000
family,blur,dae_lam1w5,b,0.2135,,0.6474
family,blur,dae_lam1w5,g,0.7167,0.7051,0.8570
family,blur,dae_lam1w5,d,0.6896,0.7411,0.8433
family,blur,dae_lam1w5,r_A,0.5614,0.5319,0.7940
family,blur,dae_lam1w5,b@level,-0.6196,-0.6401,0.2120
family,blur,dae_lam1w5,g@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,d@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,r_A@level,0.0701,0.0726,0.6084
family,pixel_mask,dae_lam0,b,0.0274,,0.5064
family,pixel_mask,dae_lam0,g,0.5865,0.6060,0.7894
family,pixel_mask,dae_lam0,d,0.5459,0.9173,0.7652
family,pixel_mask,dae_lam0,r_A,0.5372,0.8775,0.7663
family,pixel_mask,dae_lam0,b@level,-0.6647,-0.9270,0.1909
family,pixel_mask,dae_lam0,g@level,0.5810,0.7615,0.7518
family,pixel_mask,dae_lam0,d@level,-0.2526,-0.2912,0.3247
family,pixel_mask,dae_lam0,r_A@level,-0.2526,-0.2912,0.3247
family,pixel_mask,dae_lam1,b,0.3185,,0.7459
family,pixel_mask,dae_lam1,g,0.2538,0.3007,0.6349
family,pixel_mask,dae_lam1,d,0.9159,0.9233,0.9888
family,pixel_mask,dae_lam1,r_A,0.4361,0.3149,0.7246
family,pixel_mask,dae_lam1,b@level,0.0000,-0.3079,0.5000
family,pixel_mask,dae_lam1,g@level,0.0000,0.3079,0.5000
family,pixel_mask,dae_lam1,d@level,0.0000,0.3079,0.5000
family,pixel_mask,dae_lam1,r_A@level,0.0000,-0.3079,0.5000
family,pixel_mask,dae_lam1w5,b,0.0762,,0.5188
family,pixel_mask,dae_lam1w5,g,0.5144,0.5160,0.7434
family,pixel_mask,dae_lam1w5,d,0.5789,0.9212,0.7739
family,pixel_mask,dae_lam1w5,r_A,0.5292,0.8611,0.7571
family,pixel_mask,dae_lam1w5,b@level,-0.6253,-0.9205,0.1987
family,pixel_mask,dae_lam1w5,g@level,0.6253,0.9205,0.8013
family,pixel_mask,dae_lam1w5,d@level,-0.2389,-0.2993,0.3393
family,pixel_mask,dae_lam1w5,r_A@level,-0.2389,-0.2993,0.3393
family,box_mask,dae_lam0,b,0.2238,,0.6022
family,box_mask,dae_lam0,g,0.6849,0.6811,0.8078
family,box_mask,dae_lam0,d,0.5716,0.5455,0.7362
family,box_mask,dae_lam0,r_A,0.4816,0.4379,0.6896
family,box_mask,dae_lam0,b@level,-0.6188,-0.7493,0.1846
family,box_mask,dae_lam0,g@level,0.6188,0.7493,0.8154
family,box_mask,dae_lam0,d@level,-0.2067,-0.2486,0.3944
family,box_mask,dae_lam0,r_A@level,-0.6188,-0.7493,0.1846
family,box_mask,dae_lam1,b,0.4631,,0.8440
family,box_mask,dae_lam1,g,0.4988,0.5672,0.7294
family,box_mask,dae_lam1,d,0.8239,0.8044,0.9449
family,box_mask,dae_lam1,r_A,0.8140,0.7609,0.9362
family,box_mask,dae_lam1,b@level,0.0000,-0.1784,0.5000
family,box_mask,dae_lam1,g@level,0.0000,0.1784,0.5000
family,box_mask,dae_lam1,d@level,0.0000,0.1784,0.5000
family,box_mask,dae_lam1,r_A@level,0.0000,-0.1784,0.5000
family,box_mask,dae_lam1w5,b,0.2459,,0.6121
family,box_mask,dae_lam1w5,g,0.7340,0.7332,0.8283
family,box_mask,dae_lam1w5,d,0.6495,0.6339,0.7755
family,box_mask,dae_lam1w5,r_A,0.5429,0.5008,0.7177
family,box_mask,dae_lam1w5,b@level,-0.5877,-0.7272,0.1956
family,box_mask,dae_lam1w5,g@level,0.5877,0.7272,0.8044
family,box_mask,dae_lam1w5,d@level,0.1955,0.2405,0.6021
family,box_mask,dae_lam1w5,r_A@level,-0.5877,-0.7272,0.1956
all,all,dae_lam0,b,-0.1704,,0.3738
all,all,dae_lam0,g,0.5475,0.6098,0.6950
all,all,dae_lam0,d,0.1228,0.1636,0.5802
all,all,dae_lam0,r_A,0.0205,0.0570,0.5280
all,all,dae_lam0,b@level,-0.6777,-0.6823,0.0954
all,all,dae_lam0,g@level,0.4611,0.4535,0.6621
all,all,dae_lam0,d@level,-0.0035,-0.0119,0.5098
all,all,dae_lam0,r_A@level,-0.1169,-0.1184,0.4667
all,all,dae_lam1,b,0.3901,,0.7929
