condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.1),dae_lam0,b,0.0221,0.0100,0.0321,,,,0.5076
noise(sigma=0.1),dae_lam0,g,0.7500,0.7356,0.7610,0.7513,0.7393,0.7610,0.8660
noise(sigma=0.1),dae_lam0,d,0.9317,0.9274,0.9376,0.9409,0.9370,0.9458,0.9810
noise(sigma=0.1),dae_lam0,r_A,0.9317,0.9274,0.9376,0.9409,0.9370,0.9458,0.9810
noise(sigma=0.1),dae_lam0,div,0.4927,0.4449,0.5339,0.4929,0.4454,0.5332,0.7274
noise(sigma=0.1),dae_lam0,g_lin,0.7866,0.7640,0.7980,0.7882,0.7680,0.7986,0.8944
noise(sigma=0.1),dae_lam0,sure,0.9070,0.9039,0.9119,0.9140,0.9115,0.9178,0.9641
noise(sigma=0.1),dae_lam1,b,0.5050,0.5050,0.5050,,,,0.8717
noise(sigma=0.1),dae_lam1,g,0.6327,0.6327,0.6327,0.5847,0.5847,0.5847,0.8163
noise(sigma=0.1),dae_lam1,d,0.9942,0.9942,0.9942,0.9924,0.9924,0.9924,0.9991
noise(sigma=0.1),dae_lam1,r_A,0.9942,0.9942,0.9942,0.9924,0.9924,0.9924,0.9991
noise(sigma=0.1),dae_lam1,div,0.0010,0.0010,0.0010,-0.0062,-0.0062,-0.0062,0.4994
noise(sigma=0.1),dae_lam1,g_lin,0.3742,0.3742,0.3742,0.3376,0.3376,0.3376,0.6918
noise(sigma=0.1),dae_lam1,sure,0.9780,0.9780,0.9780,0.9714,0.9714,0.9714,0.9963
noise(sigma=0.1),dae_lam1w5,b,0.0364,0.0225,0.0457,,,,0.5171
noise(sigma=0.1),dae_lam1w5,g,0.6540,0.6411,0.6720,0.6559,0.6425,0.6761,0.8422
noise(sigma=0.1),dae_lam1w5,d,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,r_A,0.9496,0.9453,0.9552,0.9552,0.9516,0.9600,0.9837
noise(sigma=0.1),dae_lam1w5,div,0.2860,0.2081,0.3360,0.2842,0.2077,0.3338,0.6286
noise(sigma=0.1),dae_lam1w5,g_lin,0.7682,0.7548,0.7752,0.7704,0.7576,0.7795,0.8914
noise(sigma=0.1),dae_lam1w5,sure,0.9160,0.9126,0.9225,0.9183,0.9149,0.9239,0.9617
noise(sigma=0.2),dae_lam0,b,0.0365,0.0288,0.0434,,,,0.5113
noise(sigma=0.2),dae_lam0,g,0.7482,0.7259,0.7603,0.7496,0.7288,0.7607,0.8634
noise(sigma=0.2),dae_lam0,d,0.7680,0.7548,0.7851,0.7775,0.7647,0.7933,0.9222
noise(sigma=0.2),dae_lam0,r_A,0.7680,0.7548,0.7851,0.7775,0.7647,0.7933,0.9222
noise(sigma=0.2),dae_lam0,div,0.4942,0.4448,0.5373,0.4935,0.4441,0.5361,0.7262
noise(sigma=0.2),dae_lam0,g_lin,0.7647,0.7234,0.8031,0.7654,0.7257,0.8030,0.8874
noise(sigma=0.2),dae_lam0,sure,0.8076,0.7995,0.8188,0.8142,0.8067,0.8243,0.9314
noise(sigma=0.2),dae_lam1,b,0.5042,0.5042,0.5042,,,,0.8716
noise(sigma=0.2),dae_lam1,g,0.4555,0.4555,0.4555,0.4036,0.4036,0.4036,0.7324
noise(sigma=0.2),dae_lam1,d,0.9804,0.9804,0.9804,0.9739,0.9739,0.9739,0.9967
noise(sigma=0.2),dae_lam1,r_A,0.9804,0.9804,0.9804,0.9739,0.9739,0.9739,0.9967
noise(sigma=0.2),dae_lam1,div,0.0067,0.0067,0.0067,0.0035,0.0035,0.0035,0.4989
noise(sigma=0.2),dae_lam1,g_lin,0.2870,0.2870,0.2870,0.2598,0.2598,0.2598,0.6472
noise(sigma=0.2),dae_lam1,sure,0.9710,0.9710,0.9710,0.9615,0.9615,0.9615,0.9949
noise(sigma=0.2),dae_lam1w5,b,0.0588,0.0433,0.0718,,,,0.5219
noise(sigma=0.2),dae_lam1w5,g,0.6229,0.6153,0.6379,0.6229,0.6144,0.6398,0.8304
noise(sigma=0.2),dae_lam1w5,d,0.8266,0.8129,0.8448,0.8327,0.8199,0.8492,0.9412
noise(sigma=0.2),dae_lam1w5,r_A,0.8266,0.8129,0.8448,0.8327,0.8199,0.8492,0.9412
noise(sigma=0.2),dae_lam1w5,div,0.2959,0.2081,0.3511,0.2919,0.2072,0.3470,0.6334
noise(sigma=0.2),dae_lam1w5,g_lin,0.7152,0.6745,0.7401,0.7239,0.6742,0.7535,0.8730
noise(sigma=0.2),dae_lam1w5,sure,0.8424,0.8335,0.8552,0.8451,0.8372,0.8568,0.9394
noise(sigma=0.3),dae_lam0,b,0.0604,0.0600,0.0609,,,,0.5149
noise(sigma=0.3),dae_lam0,g,0.7349,0.6995,0.7584,0.7362,0.7025,0.7595,0.8609
noise(sigma=0.3),dae_lam0,d,0.5633,0.5460,0.5863,0.5699,0.5530,0.5916,0.8327
noise(sigma=0.3),dae_lam0,r_A,0.5633,0.5460,0.5863,0.5699,0.5530,0.5916,0.8327
noise(sigma=0.3),dae_lam0,div,0.5059,0.4523,0.5574,0.5035,0.4498,0.5554,0.7349
noise(sigma=0.3),dae_lam0,g_lin,0.7018,0.6358,0.7862,0.7009,0.6342,0.7854,0.8686
noise(sigma=0.3),dae_lam0,sure,0.6425,0.6355,0.6535,0.6474,0.6410,0.6573,0.8641
noise(sigma=0.3),dae_lam1,b,0.5035,0.5035,0.5035,,,,0.8710
noise(sigma=0.3),dae_lam1,g,0.2685,0.2685,0.2685,0.2316,0.2316,0.2316,0.6445
noise(sigma=0.3),dae_lam1,d,0.9583,0.9583,0.9583,0.9441,0.9441,0.9441,0.9909
noise(sigma=0.3),dae_lam1,r_A,0.9583,0.9583,0.9583,0.9441,0.9441,0.9441,0.9909
noise(sigma=0.3),dae_lam1,div,-0.0115,-0.0115,-0.0115,-0.0288,-0.0288,-0.0288,0.4994
noise(sigma=0.3),dae_lam1,g_lin,0.1864,0.1864,0.1864,0.1668,0.1668,0.1668,0.6038
noise(sigma=0.3),dae_lam1,sure,0.9549,0.9549,0.9549,0.9392,0.9392,0.9392,0.9906
noise(sigma=0.3),dae_lam1w5,b,0.0909,0.0794,0.1062,,,,0.5321
noise(sigma=0.3),dae_lam1w5,g,0.5846,0.5758,0.5923,0.5814,0.5744,0.5882,0.8105
noise(sigma=0.3),dae_lam1w5,d,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,r_A,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,div,0.3136,0.2194,0.3759,0.3062,0.2171,0.3687,0.6454
noise(sigma=0.3),dae_lam1w5,g_lin,0.5107,0.1953,0.6742,0.5275,0.1964,0.7016,0.7832
