condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.1),unet_lam0,b,0.2487,0.2451,0.2510,,,,0.5947
noise(sigma=0.1),unet_lam0,g,0.8985,0.8909,0.9035,0.9096,0.9056,0.9121,0.9413
noise(sigma=0.1),unet_lam0,d,0.4057,0.3824,0.4424,0.3984,0.3756,0.4364,0.7777
noise(sigma=0.1),unet_lam0,r_A,0.4057,0.3824,0.4424,0.3984,0.3756,0.4364,0.7777
noise(sigma=0.1),unet_lam0,div,0.7895,0.7852,0.7952,0.8365,0.8331,0.8397,0.8783
noise(sigma=0.1),unet_lam0,g_lin,0.9138,0.9084,0.9191,0.9218,0.9203,0.9238,0.9537
noise(sigma=0.1),unet_lam0,sure,0.8066,0.8042,0.8101,0.8254,0.8231,0.8290,0.9342
noise(sigma=0.1),unet_lam1,b,0.9996,0.9996,0.9996,,,,0.9998
noise(sigma=0.1),unet_lam1,g,,,,,,,0.5000
noise(sigma=0.1),unet_lam1,d,0.9973,0.9973,0.9973,0.2049,0.2049,0.2049,0.9995
noise(sigma=0.1),unet_lam1,r_A,0.9973,0.9973,0.9973,0.2049,0.2049,0.2049,0.9995
noise(sigma=0.1),unet_lam1,div,,,,,,,0.5000
noise(sigma=0.1),unet_lam1,g_lin,,,,,,,0.5000
noise(sigma=0.1),unet_lam1,sure,0.9623,0.9623,0.9623,0.0376,0.0376,0.0376,0.9874
noise(sigma=0.1),unet_lam1w5,b,0.2428,0.2383,0.2468,,,,0.5771
noise(sigma=0.1),unet_lam1w5,g,0.6121,0.5461,0.6457,0.5843,0.5145,0.6199,0.7705
noise(sigma=0.1),unet_lam1w5,d,0.1003,0.0906,0.1091,0.1038,0.0852,0.1140,0.6337
noise(sigma=0.1),unet_lam1w5,r_A,0.1003,0.0906,0.1091,0.1038,0.0852,0.1140,0.6337
noise(sigma=0.1),unet_lam1w5,div,0.6651,0.6539,0.6729,0.6835,0.6801,0.6901,0.7780
noise(sigma=0.1),unet_lam1w5,g_lin,0.7902,0.7682,0.8102,0.7806,0.7541,0.8041,0.8715
noise(sigma=0.1),unet_lam1w5,sure,0.7992,0.7983,0.8009,0.8231,0.8212,0.8253,0.9267
noise(sigma=0.2),unet_lam0,b,0.1868,0.1845,0.1889,,,,0.5621
noise(sigma=0.2),unet_lam0,g,0.9366,0.9357,0.9374,0.9344,0.9334,0.9354,0.9644
noise(sigma=0.2),unet_lam0,d,-0.4715,-0.4833,-0.4629,-0.4775,-0.4924,-0.4658,0.2815
noise(sigma=0.2),unet_lam0,r_A,-0.4715,-0.4833,-0.4629,-0.4775,-0.4924,-0.4658,0.2815
noise(sigma=0.2),unet_lam0,div,0.8967,0.8955,0.8987,0.9129,0.9118,0.9143,0.9414
noise(sigma=0.2),unet_lam0,g_lin,0.9078,0.9055,0.9120,0.9067,0.9049,0.9093,0.9497
noise(sigma=0.2),unet_lam0,sure,0.6210,0.6189,0.6235,0.6405,0.6383,0.6427,0.8346
noise(sigma=0.2),unet_lam1,b,0.9984,0.9984,0.9984,,,,0.9995
noise(sigma=0.2),unet_lam1,g,,,,,,,0.5000
noise(sigma=0.2),unet_lam1,d,0.9900,0.9900,0.9900,0.2193,0.2193,0.2193,0.9978
noise(sigma=0.2),unet_lam1,r_A,0.9900,0.9900,0.9900,0.2193,0.2193,0.2193,0.9978
noise(sigma=0.2),unet_lam1,div,,,,,,,0.5000
noise(sigma=0.2),unet_lam1,g_lin,,,,,,,0.5000
noise(sigma=0.2),unet_lam1,sure,0.9613,0.9613,0.9613,0.0962,0.0962,0.0962,0.9872
noise(sigma=0.2),unet_lam1w5,b,0.1641,0.1617,0.1666,,,,0.5477
noise(sigma=0.2),unet_lam1w5,g,0.5742,0.5175,0.6121,0.5578,0.4982,0.5974,0.7839
noise(sigma=0.2),unet_lam1w5,d,-0.0551,-0.0678,-0.0436,-0.0555,-0.0693,-0.0441,0.5032
noise(sigma=0.2),unet_lam1w5,r_A,-0.0551,-0.0678,-0.0436,-0.0555,-0.0693,-0.0441,0.5032
noise(sigma=0.2),unet_lam1w5,div,0.8096,0.8069,0.8132,0.8332,0.8303,0.8347,0.8948
