condition,model_group,e,e_min,e_max,frac_improved,g
noise(sigma=0.1),dae_lam0.1w5,0.0435,0.0422,0.0446,0.9415,0.0094
noise(sigma=0.1),dae_lam1w5_inner,0.0529,0.0517,0.0542,0.8790,0.0105
noise(sigma=0.1),dae_lam1w5,0.0504,0.0482,0.0521,0.9033,0.0061
noise(sigma=0.2),dae_lam0.1w5,0.0469,0.0457,0.0479,0.9986,0.0108
noise(sigma=0.2),dae_lam1w5_inner,0.0544,0.0532,0.0556,0.9976,0.0111
noise(sigma=0.2),dae_lam1w5,0.0530,0.0510,0.0544,0.9975,0.0069
noise(sigma=0.3),dae_lam0.1w5,0.0523,0.0512,0.0531,1.0000,0.0130
noise(sigma=0.3),dae_lam1w5_inner,0.0570,0.0559,0.0581,1.0000,0.0123
noise(sigma=0.3),dae_lam1w5,0.0572,0.0554,0.0581,1.0000,0.0081
noise(sigma=0.5),dae_lam0.1w5,0.0707,0.0676,0.0738,1.0000,0.0200
noise(sigma=0.5),dae_lam1w5_inner,0.0668,0.0657,0.0674,1.0000,0.0168
noise(sigma=0.5),dae_lam1w5,0.0758,0.0691,0.0884,1.0000,0.0151
blur(std=0.5),dae_lam0.1w5,0.0439,0.0425,0.0450,0.2508,0.0089
blur(std=0.5),dae_lam1w5_inner,0.0537,0.0525,0.0548,0.1215,0.0102
blur(std=0.5),dae_lam1w5,0.0507,0.0486,0.0526,0.1450,0.0056
blur(std=1),dae_lam0.1w5,0.0574,0.0570,0.0579,0.9021,0.0106
blur(std=1),dae_lam1w5_inner,0.0642,0.0635,0.0651,0.7092,0.0106
blur(std=1),dae_lam1w5,0.0602,0.0591,0.0616,0.8076,0.0065
blur(std=1.5),dae_lam0.1w5,0.0780,0.0769,0.0793,0.9767,0.0136
blur(std=1.5),dae_lam1w5_inner,0.0821,0.0784,0.0844,0.8661,0.0119
blur(std=1.5),dae_lam1w5,0.0761,0.0735,0.0783,0.9565,0.0081
blur(std=2),dae_lam0.1w5,0.0985,0.0959,0.1009,0.9772,0.0163
blur(std=2),dae_lam1w5_inner,0.1021,0.0961,0.1059,0.8423,0.0134
blur(std=2),dae_lam1w5,0.0940,0.0910,0.0977,0.9824,0.0099
pixel_mask(drop=0.25),dae_lam0.1w5,0.0915,0.0906,0.0923,0.3231,0.0107
pixel_mask(drop=0.25),dae_lam1w5_inner,0.0948,0.0946,0.0951,0.3132,0.0112
pixel_mask(drop=0.25),dae_lam1w5,0.0968,0.0947,0.0983,0.1745,0.0064
pixel_mask(drop=0.5),dae_lam0.1w5,0.1620,0.1607,0.1630,0.0608,0.0116
pixel_mask(drop=0.5),dae_lam1w5_inner,0.1659,0.1652,0.1672,0.0692,0.0128
pixel_mask(drop=0.5),dae_lam1w5,0.1644,0.1632,0.1659,0.0301,0.0069
pixel_mask(drop=0.75),dae_lam0.1w5,0.2328,0.2311,0.2343,0.0075,0.0113
pixel_mask(drop=0.75),dae_lam1w5_inner,0.2376,0.2349,0.2390,0.0056,0.0124
pixel_mask(drop=0.75),dae_lam1w5,0.2324,0.2300,0.2338,0.0024,0.0068
box_mask(size=8),dae_lam0.1w5,0.0737,0.0728,0.0751,0.0126,0.0156
box_mask(size=8),dae_lam1w5_inner,0.0768,0.0751,0.0788,0.0438,0.0194
box_mask(size=8),dae_lam1w5,0.0795,0.0786,0.0809,0.0061,0.0126
box_mask(size=14),dae_lam0.1w5,0.1416,0.1399,0.1450,0.0181,0.0181
box_mask(size=14),dae_lam1w5_inner,0.1488,0.1459,0.1525,0.0135,0.0246
box_mask(size=14),dae_lam1w5,0.1453,0.1437,0.1483,0.0114,0.0154
